Designator,Mid X,Mid Y,Rotation,Layer
BT2,-4.68,-25.41,90.0,top
C1,13.2305,24.3,180.0,top
C10,12.67,-13.035,270.0,top
C11,22.33,-9.27,0.0,top
C12,9.8,-6.2,180.0,top
C13,22.31,-4.9825,0.0,top
C14,16.289,1.158016,90.0,top
C15,11.33,-9.77,180.0,top
C16,11.33,-11.17,180.0,top
C17,17.2805,25.65,270.0,top
C18,7.935,11.78,270.0,top
C19,11.585,11.78,270.0,top
C2,20.72,3.0,0.0,top
C20,14.385,11.78,90.0,top
C21,18.085,11.76,90.0,top
C22,15.12,16.71,180.0,top
C23,9.9005,15.85,90.0,top
C24,6.12,20.71,180.0,top
C25,-2.13,15.96,0.0,top
C26,-2.13,19.61,0.0,top
C27,-2.13,22.41,180.0,top
C28,-2.13,26.11,180.0,top
C29,0.4,-15.2,180.0,top
C3,17.22,3.0,180.0,top
C30,5.9,-6.3,90.0,top
C31,7.5605,15.89,90.0,top
C32,4.3,-20.1,270.0,top
C33,-0.3,-13.4,0.0,top
C4,15.0805,25.68,270.0,top
C40,7.8,-6.3,90.0,top
C5,19.0,-17.9,180.0,top
C58,-0.6,-8.0,90.0,top
C6,17.67,-14.035,270.0,top
C67,3.5805,0.85,0.0,top
C68,6.6805,0.45,180.0,top
C7,15.17,1.158016,90.0,top
C8,13.67,-13.035,270.0,top
C9,16.67,-14.035,270.0,top
D1,-0.12,29.47,180.0,top
D2,30.4875,-0.5,90.0,top
D3,26.7,-7.95,90.0,top
D4,30.4875,-10.7,90.0,top
D5,30.4875,-5.6,90.0,top
FB1,9.1805,0.45,180.0,top
FB2,17.527053,23.232947,135.0,top
FB3,12.0605,15.46,180.0,top
J4,0.03,32.68,90.0,top
J5,13.7,-27.48,25.0,top
L1,9.77,12.23,0.0,top
L2,12.985,11.78,270.0,top
L3,16.185,11.33,0.0,top
L4,-2.58,17.795,90.0,top
L5,-2.13,21.01,0.0,top
L6,-1.68,24.21,90.0,top
L7,9.0305,20.17,270.0,top
Q1,3.1375,-12.35,180.0,top
R1,-0.3,-12.2,180.0,top
R10,3.8205,7.37,180.0,top
R12,28.4,0.4,270.0,top
R13,-2.53,11.01,90.0,top
R14,1.27,11.01,90.0,top
R15,-0.63,10.56,0.0,top
R2,25.7,-17.7,0.0,top
R27,17.12,-15.57,0.0,top
R28,6.0,-17.6,270.0,top
R3,15.67,-13.035,90.0,top
R36,2.39,-21.1,180.0,top
R37,-1.88,-16.79,90.0,top
R38,28.3,-6.3,270.0,top
R39,28.3475,-8.58,270.0,top
R4,14.67,-13.035,90.0,top
R40,28.2975,-3.48,270.0,top
R5,17.33,1.23,90.0,top
R6,8.67,23.46,180.0,top
R7,-0.3,-10.7,180.0,top
R8,5.6,-3.1,90.0,top
R9,3.82,6.23,180.0,top
SW1,1.9,-3.8,0.0,top
SW2,23.0,-20.1,0.0,top
SW3,2.16,-30.535,0.0,top
U1,12.87,20.41,270.0,top
U15,8.7625,-13.75,180.0,top
U16,0.9,-18.3,0.0,top
U19,3.1,-7.9625,270.0,top
U2,23.43,-14.205,90.0,top
U3,16.67,-6.1825,180.0,top
U4,1.57,3.38,90.0,top
Y1,17.82,5.35,180.0,top
Y2,7.9825,3.195,180.0,top
